2025-03-27 15:02:28,591 INFO, inst,timestamp,timestamp, position,pnl
2025-03-27 15:02:30,491 INFO, Short condition met 2025-03-27 09:22:01
2025-03-27 15:02:30,491 INFO, Entered 51478, 23700.0, PUT at 94.25 SL: 84.825 Target: 103.68
2025-03-27 15:02:30,647 INFO, SL hit in 51478,  23700.0, PUT at 84.825
2025-03-27 15:02:32,095 INFO, Short condition met 2025-03-27 09:29:00
2025-03-27 15:02:32,096 INFO, Entered 53847, 23750.0, PUT at 112.3 SL: 101.07 Target: 123.53
2025-03-27 15:02:32,190 INFO, Target hit in 53847, 23750.0, PUT at 123.53
2025-03-27 15:02:34,162 INFO, Short condition met 2025-03-27 09:38:00
2025-03-27 15:02:34,163 INFO, Entered 51478, 23700.0, PUT at 97.5 SL: 87.75 Target: 107.25
2025-03-27 15:02:34,408 INFO, Target hit in 51478, 23700.0, PUT at 107.25
2025-03-27 15:02:34,805 INFO, Short condition met 2025-03-27 09:41:00
2025-03-27 15:02:34,806 INFO, Entered 51476, 23650.0, PUT at 84.75 SL: 76.275 Target: 93.22
2025-03-27 15:02:35,054 INFO, SL hit in 51476,  23650.0, PUT at 76.275
2025-03-27 15:02:36,952 INFO, Short condition met 2025-03-27 09:51:00
2025-03-27 15:02:36,952 INFO, Entered 51478, 23700.0, PUT at 106.8 SL: 96.12 Target: 117.48
2025-03-27 15:02:37,845 INFO, SL hit in 51478,  23700.0, PUT at 96.12
2025-03-27 15:02:39,752 INFO, Short condition met 2025-03-27 10:05:01
2025-03-27 15:02:39,753 INFO, Entered 51478, 23700.0, PUT at 93.2 SL: 83.88 Target: 102.52
2025-03-27 15:02:39,924 INFO, Short condition met 2025-03-27 10:06:00
2025-03-27 15:02:39,925 INFO, Entered 51478, 23700.0, PUT at 100.85 SL: 90.76499999999999 Target: 110.94
2025-03-27 15:02:40,097 INFO, Target hit in 51478, 23700.0, PUT at 102.52
2025-03-27 15:02:40,536 INFO, SL hit in 51478,  23700.0, PUT at 90.76499999999999
2025-03-27 15:02:44,152 INFO, Short condition met 2025-03-27 10:30:00
2025-03-27 15:02:44,153 INFO, Entered 51478, 23700.0, PUT at 93.1 SL: 83.78999999999999 Target: 102.41
2025-03-27 15:02:44,662 INFO, SL hit in 51478,  23700.0, PUT at 83.78999999999999
2025-03-27 15:02:45,012 INFO, Long condition met 2025-03-27 10:35:00
2025-03-27 15:02:45,012 INFO, Entered 53846, 23750.0, CALL at 82.05 SL: 73.845 Target: 90.26
2025-03-27 15:02:45,066 INFO, Target hit in 53846, 23750.0, CALL at 90.26
